orig.ident	nReads	nGene	celltype
lung_SmartSeq2_Smart-seq2_G3.MAA000526.3_9_M.1.1	Smart-seq2	783342	2635	Epi_AT2
lung_SmartSeq2_Smart-seq2_H11.MAA000526.3_9_M.1.1	Smart-seq2	410546	4220	FB_adventitial
lung_SmartSeq2_Smart-seq2_J1.MAA000526.3_9_M.1.1	Smart-seq2	473978	1760	Endo_capillary
lung_SmartSeq2_Smart-seq2_K12.MAA000526.3_9_M.1.1	Smart-seq2	824109	2729	FB_adventitial
lung_SmartSeq2_Smart-seq2_K13.MAA000526.3_9_M.1.1	Smart-seq2	489885	2010	FB_alveolar
lung_SmartSeq2_Smart-seq2_M7.MAA000526.3_9_M.1.1	Smart-seq2	529984	1980	Endo_capillary
lung_SmartSeq2_Smart-seq2_N21.MAA000526.3_9_M.1.1	Smart-seq2	636936	1719	Tcell_CD8T
lung_SmartSeq2_Smart-seq2_M6.MAA000526.3_9_M.1.1	Smart-seq2	320155	993	Endo_capillary
lung_SmartSeq2_Smart-seq2_N20.MAA000526.3_9_M.1.1	Smart-seq2	415608	2186	Mo_Ly6Clo
lung_SmartSeq2_Smart-seq2_P3.MAA000526.3_9_M.1.1	Smart-seq2	614104	4098	Epi_ciliated
lung_SmartSeq2_Smart-seq2_P4.MAA000526.3_9_M.1.1	Smart-seq2	378960	2788	Epi_AT2
lung_SmartSeq2_Smart-seq2_D2.MAA000526.3_9_M.1.1	Smart-seq2	540600	2248	Endo_capillary
lung_SmartSeq2_Smart-seq2_E9.MAA000526.3_9_M.1.1	Smart-seq2	121328	1989	Endo_arterial
lung_SmartSeq2_Smart-seq2_G4.MAA000526.3_9_M.1.1	Smart-seq2	1028275	3780	Epi_AT2
